序号,作品名称,正式播放地址,PNG二维码路径,SVG二维码路径
01,蹦沙卡拉卡,https://zhesunxing.github.io/video-portfolio/work-01.html,qrcodes/01-beng-sha-ka-la-ka.png,qrcodes/01-beng-sha-ka-la-ka.svg
02,红包券,https://zhesunxing.github.io/video-portfolio/work-02.html,qrcodes/02-red-packet-coupon.png,qrcodes/02-red-packet-coupon.svg
03,机票弹窗,https://zhesunxing.github.io/video-portfolio/work-03.html,qrcodes/03-flight-ticket-popup.png,qrcodes/03-flight-ticket-popup.svg
04,机票 Demo 2,https://zhesunxing.github.io/video-portfolio/work-04.html,qrcodes/04-flight-ticket-demo-2.png,qrcodes/04-flight-ticket-demo-2.svg
05,假期别走,https://zhesunxing.github.io/video-portfolio/work-05.html,qrcodes/05-dont-leave-the-holiday.png,qrcodes/05-dont-leave-the-holiday.svg
06,拼手气红包,https://zhesunxing.github.io/video-portfolio/work-06.html,qrcodes/06-lucky-red-packet.png,qrcodes/06-lucky-red-packet.svg
07,七夕那天你将会,https://zhesunxing.github.io/video-portfolio/work-07.html,qrcodes/07-on-qixi-you-will.png,qrcodes/07-on-qixi-you-will.svg
08,三角洲火崽崽,https://zhesunxing.github.io/video-portfolio/work-08.html,qrcodes/08-delta-fire-cub.png,qrcodes/08-delta-fire-cub.svg
09,甜妹随心拍,https://zhesunxing.github.io/video-portfolio/work-09.html,qrcodes/09-sweet-girl-free-shot.png,qrcodes/09-sweet-girl-free-shot.svg
10,中秋许愿池,https://zhesunxing.github.io/video-portfolio/work-10.html,qrcodes/10-mid-autumn-wishing-pool.png,qrcodes/10-mid-autumn-wishing-pool.svg
11,Icon 平台演示,https://zhesunxing.github.io/video-portfolio/work-11.html,qrcodes/11-icon-platform-demo.png,qrcodes/11-icon-platform-demo.svg
12,崽崽百变,https://zhesunxing.github.io/video-portfolio/work-12.html,qrcodes/12-cub-shapeshift.png,qrcodes/12-cub-shapeshift.svg
resume,视觉设计作品集 PDF,https://zhesunxing.github.io/video-portfolio/assets/pdf/hou-jichang-portfolio.pdf,qrcodes/resume-portfolio-pdf.png,qrcodes/resume-portfolio-pdf.svg
